Label	Pop	cluster_relabeled	mean_prob
ALL02	4	2	0.447
ALL02	4	3	0.348
ALL02	4	1	0.205
ALL03	4	2	0.545
ALL03	4	3	0.288
ALL03	4	1	0.167
ALL04	4	2	0.43
ALL04	4	3	0.313
ALL04	4	1	0.257
ALL05	4	2	0.419
ALL05	4	3	0.361
ALL05	4	1	0.219
ALL06	4	2	0.4246
ALL06	4	3	0.274
ALL06	4	1	0.301
ALL11	4	2	0.4638
ALL11	4	3	0.309
ALL11	4	1	0.227
ALL12	4	2	0.425
ALL12	4	3	0.336
ALL12	4	1	0.239
ALLATOONA01	4	2	0.48
ALLATOONA01	4	3	0.335
ALLATOONA01	4	1	0.185
ALLATOONA10	4	2	0.483
ALLATOONA10	4	3	0.359
ALLATOONA10	4	1	0.158
CANOT11829	2	2	1
CANOT11829	2	3	0
CANOT11829	2	1	0
CANOT11830	2	2	1
CANOT11830	2	3	0
CANOT11830	2	1	0
CANOT11832	2	2	0.998
CANOT11832	2	3	0
CANOT11832	2	1	0.0016
CANOT11837	2	2	1
CANOT11837	2	3	0
CANOT11837	2	1	0
CANOT11838	2	2	1
CANOT11838	2	3	0
CANOT11838	2	1	0
CANOT2617	2	2	0.999
CANOT2617	2	3	0
CANOT2617	2	1	0.001
DB12041	2	2	0.999
DB12041	2	3	0
DB12041	2	1	0.001
DB2589	2	2	0.999
DB2589	2	3	0
DB2589	2	1	0.001
DB2590	2	2	1
DB2590	2	3	0
DB2590	2	1	0
DB2592	2	2	0.999
DB2592	2	3	0
DB2592	2	1	0
DB2593	2	2	1
DB2593	2	3	0
DB2593	2	1	0
DB2634	2	2	1
DB2634	2	3	0
DB2634	2	1	0
DB2635	2	2	0.999
DB2635	2	3	0
DB2635	2	1	0.001
DB2637	2	2	1
DB2637	2	3	0
DB2637	2	1	0
FL01	3	2	0
FL01	3	3	1
FL01	3	1	0
FL09	3	2	0
FL09	3	3	1
FL09	3	1	0
FL12	3	2	0
FL12	3	3	1
FL12	3	1	0
FL15	3	2	0
FL15	3	3	1
FL15	3	1	0
FL16	3	2	0
FL16	3	3	1
FL16	3	1	0
